User,Date,Text,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,Sat Jun 09 08:52:33 +0000 2018,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,0.5859,0.147,0.0,0.853,89
BBC,Sat Jun 09 08:50:01 +0000 2018,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",0.0,0.0,0.0,1.0,90
BBC,Sat Jun 09 08:32:05 +0000 2018,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",0.0,0.0,0.0,1.0,91
BBC,Sat Jun 09 07:28:04 +0000 2018,"The charming and beautiful films of Lotte Reiniger, forgotten pioneer of animation. https://t.co/T2N7eLjHKh",0.7783,0.393,0.097,0.51,92
BBC,Fri Jun 08 20:04:03 +0000 2018,"🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the B… https://t.co/l8FI1nOTWY",0.0,0.0,0.0,1.0,93
BBC,Fri Jun 08 18:09:05 +0000 2018,💃🕺 Why does dancing with our friends make us feel so good? https://t.co/iokI919nJp,0.7809,0.383,0.0,0.617,94
BBC,Fri Jun 08 17:03:04 +0000 2018,🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the… https://t.co/TN5XaD9I0k,0.5574,0.159,0.0,0.841,95
BBC,Fri Jun 08 16:02:00 +0000 2018,Leaving your responsibilities behind on a Friday like... 💁👋 #FridayFeeling @taylorswift13 https://t.co/wvmpzlOSel,0.0,0.0,0.0,1.0,96
BBC,Fri Jun 08 13:03:05 +0000 2018,"📺 From drama Succession to the return of @PoldarkTV, here are the TV shows worth watching in June. 
👉… https://t.co/VFdghjNGmK",0.4019,0.179,0.0,0.821,97
BBC,Fri Jun 08 12:28:10 +0000 2018,RT @bbcouch: We can announce today that Britain's Got Talent winner @LostVoiceGuy will be hosting our Storytelling Live event at @edfringe!…,0.784,0.266,0.0,0.734,98
BBC,Fri Jun 08 12:24:37 +0000 2018,"RT @BBCEarth: We all have a part to play in protecting #OurBluePlanet.
#WorldOceansDay 💙 https://t.co/1TM73iYPmA",0.34,0.167,0.0,0.833,99
BBC,Fri Jun 08 12:19:25 +0000 2018,"💔 US celebrity chef and television personality Anthony Bourdain has been found dead in his hotel room, aged 61.
👉… https://t.co/55jBxSrdUS",-0.6486,0.0,0.185,0.815,100
CBS,Tue Jun 12 00:19:23 +0000 2018,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",-0.5562,0.134,0.315,0.551,1
CBS,Mon Jun 11 22:23:06 +0000 2018,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",0.5093,0.171,0.0,0.829,2
CBS,Mon Jun 11 19:01:38 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",-0.296,0.0,0.167,0.833,3
CBS,Mon Jun 11 14:00:37 +0000 2018,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,0.0,0.0,0.0,1.0,4
CBS,Mon Jun 11 06:19:36 +0000 2018,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,0.0,0.0,0.0,1.0,5
CBS,Mon Jun 11 06:04:41 +0000 2018,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,0.4767,0.22,0.0,0.78,6
CBS,Mon Jun 11 03:10:33 +0000 2018,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,0.8478,0.406,0.0,0.594,7
CBS,Mon Jun 11 03:02:06 +0000 2018,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,0.92,0.463,0.0,0.537,8
CBS,Mon Jun 11 02:58:30 +0000 2018,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",0.0,0.0,0.0,1.0,9
CBS,Mon Jun 11 02:56:40 +0000 2018,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,0.4404,0.153,0.0,0.847,10
CBS,Mon Jun 11 02:56:10 +0000 2018,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,0.836,0.467,0.0,0.533,11
CBS,Mon Jun 11 02:53:00 +0000 2018,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,0.0,0.0,0.0,1.0,12
CBS,Mon Jun 11 02:47:29 +0000 2018,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,0.6369,0.318,0.0,0.682,13
CBS,Mon Jun 11 02:44:50 +0000 2018,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,0.7978,0.543,0.0,0.457,14
CBS,Mon Jun 11 02:44:37 +0000 2018,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,0.9523,0.55,0.0,0.45,15
CBS,Mon Jun 11 02:33:09 +0000 2018,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,0.5994,0.302,0.0,0.698,16
CBS,Mon Jun 11 02:29:18 +0000 2018,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",0.4215,0.123,0.0,0.877,17
CBS,Mon Jun 11 02:23:56 +0000 2018,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,0.8932,0.517,0.0,0.483,18
CBS,Mon Jun 11 02:21:03 +0000 2018,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",0.0,0.0,0.0,1.0,19
CBS,Mon Jun 11 02:16:06 +0000 2018,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,0.0,0.0,0.0,1.0,20
